state_name,county_name,aqi
Texas,El Paso,11
Pennsylvania,Dauphin,6
California,Orange,0
Pennsylvania,Allegheny,2
Pennsylvania,Allegheny,3
California,Humboldt,1
California,Santa Barbara,2
Texas,Harris,5
California,Stanislaus,23
California,San Joaquin,2
California,Butte,10
California,Alameda,5
Pennsylvania,Adams,1
California,Santa Barbara,2
California,Santa Barbara,2
California,Riverside,6
California,San Bernardino,5
California,Santa Barbara,2
California,Sacramento,6
Texas,El Paso,9
California,Los Angeles,6
Texas,El Paso,11
Pennsylvania,Allegheny,2
Pennsylvania,Allegheny,5
California,San Francisco,5
Texas,McLennan,1
California,San Mateo,3
Texas,Jefferson,2
California,Santa Barbara,6
California,Alameda,1
Texas,El Paso,10
California,Los Angeles,6
California,Los Angeles,16
California,Santa Barbara,0
California,San Diego,2
California,Sacramento,20
California,Fresno,5
California,Fresno,6
Texas,El Paso,5
Pennsylvania,Bucks,6
California,Santa Clara,7
California,Humboldt,2
Texas,Harris,2
Pennsylvania,Erie,9
California,Los Angeles,5
Pennsylvania,Lawrence,5
California,Los Angeles,1
California,San Bernardino,5
California,San Bernardino,6
California,Los Angeles,3
California,Los Angeles,1
California,Imperial,2
California,Sutter,1
California,Riverside,2
California,Los Angeles,1
California,Los Angeles,2
California,Humboldt,2
Texas,Webb,9
Texas,Jefferson,1
California,Orange,8
California,Los Angeles,8
California,Fresno,3
California,Fresno,6
California,Santa Barbara,2
Texas,Tarrant,2
California,San Bernardino,9
Pennsylvania,Cambria,2
California,San Bernardino,6
California,Orange,3
California,Los Angeles,5
California,San Mateo,5
Pennsylvania,Philadelphia,6
California,Santa Barbara,5
California,Humboldt,2
California,Los Angeles,5
Texas,McLennan,1
California,San Diego,6
California,Orange,0
Pennsylvania,Cambria,3
Texas,Tarrant,5
California,Sacramento,5
Texas,Travis,6
California,Alameda,6
California,Sacramento,5
California,Napa,8
California,Imperial,2
California,Marin,6
California,Contra Costa,5
Texas,Bexar,3
California,Los Angeles,7
Texas,Tarrant,5
California,Solano,2
Pennsylvania,Philadelphia,2
California,Fresno,7
Pennsylvania,Allegheny,9
California,San Diego,5
California,San Francisco,6
Texas,Bexar,1
California,Inyo,7
Texas,Tarrant,5
California,Santa Barbara,0
California,Monterey,1
Pennsylvania,Lackawanna,3
California,Los Angeles,2
California,Sacramento,3
Texas,Harris,7
California,Orange,3
California,Orange,11
California,Los Angeles,3
Pennsylvania,Cambria,0
California,Santa Barbara,5
California,Los Angeles,5
Texas,Webb,7
Texas,Webb,9
California,Santa Barbara,2
Texas,Jefferson,2
California,Imperial,2
Texas,El Paso,1
California,Contra Costa,6
California,Riverside,2
California,Riverside,1
California,Imperial,3
California,Alameda,3
California,Alameda,6
Texas,El Paso,2
California,Orange,9
California,Santa Barbara,3
California,Los Angeles,2
California,Los Angeles,3
California,Alameda,5
California,Santa Barbara,1
California,San Diego,7
California,San Diego,8
California,Orange,3
California,Orange,6
California,Los Angeles,5
California,Fresno,2
Pennsylvania,Allegheny,3
Arizona,Maricopa,18
Arizona,Maricopa,9
Arizona,Pima,20
Colorado,El Paso,9
Florida,Duval,15
Florida,Duval,13
Florida,Hillsborough,19
Hawaii,Honolulu,10
Illinois,Sangamon,20
Indiana,Marion,32
Kentucky,Henderson,8
Kentucky,Jefferson,6
Kentucky,McCracken,13
Kentucky,McCracken,13
Louisiana,East Baton Rouge,5
Maryland,Baltimore (City),33
Massachusetts,Suffolk,13
Michigan,Wayne,19
Minnesota,Saint Louis,16
Missouri,Saint Louis,10
New Jersey,Bergen,41
New Jersey,Middlesex,17
New Mexico,Bernalillo,11
New Mexico,San Juan,6
New York,New York,13
New York,New York,24
New York,Niagara,13
North Carolina,Mecklenburg,28
Ohio,Franklin,10
Ohio,Hamilton,17
Oklahoma,Oklahoma,14
Oregon,Klamath,31
Oregon,Multnomah,28
Tennessee,Shelby,38
Utah,Salt Lake,19
Vermont,Chittenden,18
Vermont,Chittenden,20
Virginia,Fairfax,39
Virginia,Norfolk City,15
Virginia,Richmond City,17
Washington,King,55
Washington,King,22
Washington,Yakima,35
Wisconsin,Milwaukee,10
Arizona,Maricopa,56
Arizona,Pima,30
Colorado,Boulder,28
Colorado,El Paso,9
Colorado,El Paso,9
Hawaii,Honolulu,6
Illinois,Sangamon,26
Indiana,Marion,27
Iowa,Polk,14
Kansas,Sedgwick,16
Louisiana,Orleans,5
Maryland,Allegany,9
Maryland,Montgomery,24
Michigan,Wayne,17
Minnesota,Hennepin,16
Missouri,Clay,6
Missouri,Jackson,3
Montana,Missoula,14
Nevada,Washoe,52
Nevada,Washoe,8
New Jersey,Camden,7
New Mexico,San Juan,17
New Mexico,San Juan,14
New York,Monroe,18
New York,Niagara,6
New York,Schenectady,19
Ohio,Franklin,11
Ohio,Lucas,13
Oklahoma,Cleveland,7
Oklahoma,Tulsa,13
Oklahoma,Tulsa,16
Tennessee,Shelby,74
Utah,Davis,22
Utah,Salt Lake,19
Virginia,Fairfax,15
Virginia,Alexandria City,13
Virginia,Newport News City,8
Washington,King,44
Washington,Snohomish,76
Washington,Spokane,32
West Virginia,Greenbrier,2
Wisconsin,Milwaukee,22
Puerto Rico,San Juan,35
Puerto Rico,San Juan,18
Alabama,Jefferson,23
Arizona,Maricopa,66
Arizona,Maricopa,14
Arizona,Maricopa,60
Arizona,Pima,20
Arizona,Pima,36
Colorado,El Paso,25
Colorado,El Paso,7
Colorado,El Paso,10
Colorado,El Paso,8
District Of Columbia,District of Columbia,22
Florida,Broward,17
Florida,Broward,24
Florida,Broward,15
Florida,Hillsborough,13
Georgia,DeKalb,8
Illinois,Sangamon,16
Indiana,St. Joseph,9
Indiana,Vanderburgh,15
Massachusetts,Suffolk,23
Michigan,Macomb,31
Minnesota,Ramsey,20
Nebraska,Douglas,28
Nevada,Clark,13
New Jersey,Atlantic,26
New Jersey,Bergen,11
New Mexico,Bernalillo,13
New York,Nassau,7
New York,Niagara,9
North Carolina,Mecklenburg,11
Utah,Salt Lake,31
Utah,Utah,42
Utah,Utah,15
Washington,Yakima,58
Washington,Yakima,57
Wisconsin,Milwaukee,14
Wisconsin,Milwaukee,9
Wisconsin,Racine,35
Puerto Rico,San Juan,28
Country Of Mexico,CHIHUAHUA STATE,45
Arizona,Maricopa,8
Arizona,Maricopa,18
Arizona,Pima,16
Arizona,Pima,30
Arizona,Pima,5
Colorado,Arapahoe,15
Colorado,Denver,28
Colorado,Larimer,5
Colorado,Larimer,6
Connecticut,Fairfield,24
Florida,Broward,5
Florida,Duval,13
Florida,Duval,16
Florida,Miami-Dade,43
Hawaii,Honolulu,5
Hawaii,Honolulu,7
Illinois,Sangamon,14
Iowa,Polk,18
Kentucky,Jefferson,15
Kentucky,McCracken,8
Maryland,Prince George's,3
Massachusetts,Hampden,19
Michigan,Kalamazoo,6
Michigan,Kalamazoo,6
Minnesota,Hennepin,32
Nevada,Washoe,13
New Jersey,Hudson,32
New Jersey,Middlesex,20
New Jersey,Union,16
New York,Kings,48
North Carolina,Forsyth,18
North Carolina,Forsyth,23
Ohio,Cuyahoga,36
Ohio,Cuyahoga,31
Ohio,Cuyahoga,11
Ohio,Mahoning,2
Oregon,Jackson,51
Oregon,Lane,32
Tennessee,Knox,27
Tennessee,Shelby,7
Utah,Salt Lake,20
Utah,Utah,23
Virginia,Arlington,16
Virginia,Norfolk City,6
West Virginia,Kanawha,8
Alabama,Jefferson,5
Arizona,Pima,13
Arizona,Pima,11
Arizona,Pima,5
Colorado,Boulder,11
Colorado,El Paso,31
Colorado,El Paso,23
Colorado,El Paso,9
Colorado,Mesa,20
Connecticut,Fairfield,24
Florida,Broward,8
Florida,Duval,11
Florida,Duval,18
Florida,Hillsborough,15
Florida,Hillsborough,17
Florida,Orange,9
Florida,Palm Beach,18
Florida,Pinellas,7
Florida,Sarasota,7
Hawaii,Honolulu,7
Illinois,Cook,9
Indiana,St. Joseph,17
Kansas,Sedgwick,9
Maryland,Baltimore,15
Michigan,Wayne,7
Missouri,St. Louis City,6
Montana,Missoula,19
Nebraska,Douglas,8
Nebraska,Lancaster,23
New Jersey,Burlington,45
New Jersey,Camden,18
New Jersey,Morris,17
New Mexico,Bernalillo,54
New Mexico,Bernalillo,10
New Mexico,Bernalillo,16
New York,New York,39
New York,Niagara,6
North Carolina,Forsyth,8
Ohio,Cuyahoga,17
Ohio,Cuyahoga,14
Ohio,Cuyahoga,14
Ohio,Cuyahoga,13
Ohio,Summit,18
Oregon,Lane,9
Tennessee,Knox,39
Utah,Salt Lake,9
Utah,Utah,38
Utah,Utah,16
Virginia,Fairfax,47
Virginia,Fairfax,9
West Virginia,Brooke,6
West Virginia,Hancock,5
Arizona,Maricopa,33
Colorado,Denver,19
Colorado,El Paso,36
Colorado,El Paso,24
Colorado,El Paso,5
Colorado,El Paso,20
Connecticut,Fairfield,10
District Of Columbia,District of Columbia,7
Florida,Broward,15
Florida,Broward,8
Florida,Duval,6
Florida,Miami-Dade,7
Florida,Pinellas,15
Georgia,Fulton,25
Hawaii,Honolulu,6
Illinois,Cook,19
Illinois,Peoria,40
Indiana,Allen,19
Indiana,Allen,9
Indiana,St. Joseph,20
Indiana,Vigo,14
Kansas,Sherman,0
Kentucky,Jefferson,7
Kentucky,McCracken,6
Minnesota,Hennepin,13
Minnesota,Stearns,22
Missouri,Saint Louis,8
Missouri,Taney,9
Nebraska,Douglas,50
Nevada,Douglas,8
Nevada,Washoe,13
New Jersey,Bergen,11
New Jersey,Camden,8
New Jersey,Hudson,30
New Mexico,Dona Ana,11
New Mexico,Sandoval,6
North Carolina,Chatham,5
North Carolina,Cumberland,10
North Carolina,Forsyth,6
North Carolina,Forsyth,6
North Carolina,Mecklenburg,30
Ohio,Hamilton,9
Ohio,Stark,13
Oklahoma,Comanche,13
Tennessee,Davidson,18
Vermont,Chittenden,3
Virginia,Fairfax,6
Virginia,Newport News City,11
Washington,King,45
Washington,King,35
Washington,Thurston,32
Wisconsin,Milwaukee,2
Wisconsin,Milwaukee,7
Country Of Mexico,CHIHUAHUA STATE,13
Alabama,Montgomery,0
Arizona,Maricopa,30
Colorado,Larimer,16
District Of Columbia,District of Columbia,22
District Of Columbia,District of Columbia,13
Florida,Broward,15
Florida,Duval,10
Florida,Pinellas,20
Florida,Sarasota,36
Hawaii,Honolulu,11
Illinois,Cook,10
Illinois,Cook,11
Illinois,Madison,17
Illinois,Madison,14
Illinois,Will,1
Kentucky,Jefferson,16
Kentucky,Kenton,17
Louisiana,East Baton Rouge,32
Louisiana,East Baton Rouge,49
Missouri,Jackson,2
Nevada,Clark,15
Nevada,Washoe,32
New Jersey,Middlesex,25
New Jersey,Union,49
New Mexico,Bernalillo,6
New York,Nassau,23
North Carolina,Forsyth,19
North Carolina,Gaston,19
North Carolina,Wake,32
Ohio,Franklin,13
Ohio,Lake,20
Ohio,Stark,10
Utah,Salt Lake,13
Utah,Utah,40
Vermont,Chittenden,49
Virginia,Fairfax,8
Virginia,Richmond City,8
Washington,King,25
Washington,King,13
Washington,Snohomish,40
Washington,Spokane,19
West Virginia,Ohio,16
Wisconsin,Milwaukee,3
Country Of Mexico,BAJA CALIFORNIA NORTE,14
Alaska,Fairbanks North Star ,23
Arizona,Maricopa,22
Arizona,Maricopa,11
Colorado,Denver,25
Colorado,Weld,28
Colorado,Weld,16
Colorado,Weld,13
Florida,Sarasota,15
Hawaii,Honolulu,2
Hawaii,Honolulu,13
Iowa,Linn,9
Kentucky,Bell,11
Kentucky,Jefferson,10
Massachusetts,Hampden,11
Michigan,Oakland,11
Missouri,Saint Louis,11
Missouri,Saint Louis,6
Missouri,Saint Louis,10
Missouri,Saint Louis,6
Nevada,Clark,6
Nevada,Clark,19
New Jersey,Essex,11
New Jersey,Essex,13
New Mexico,Bernalillo,6
New York,Monroe,9
North Carolina,Forsyth,9
North Carolina,Mecklenburg,10
North Carolina,Mecklenburg,36
Ohio,Cuyahoga,8
Ohio,Montgomery,6
Ohio,Stark,7
Oklahoma,Comanche,8
Oklahoma,Oklahoma,30
Oregon,Jackson,24
Oregon,Multnomah,23
Tennessee,Davidson,24
Tennessee,Davidson,28
Tennessee,Shelby,9
Tennessee,Shelby,9
Utah,Salt Lake,15
Vermont,Rutland,15
Virginia,Alexandria City,6
Virginia,Richmond City,0
Washington,Clark,15
Washington,Clark,15
Washington,Spokane,13
Wisconsin,Milwaukee,5
Wisconsin,Milwaukee,13
Wisconsin,Milwaukee,10
Puerto Rico,San Juan,18
Country Of Mexico,BAJA CALIFORNIA NORTE,36
Alaska,Anchorage ,39
Arizona,Maricopa,7
Arizona,Maricopa,31
Colorado,Boulder,7
Colorado,Denver,30
Colorado,El Paso,11
Florida,Hillsborough,20
Florida,Hillsborough,11
Florida,Orange,17
Florida,Palm Beach,17
Illinois,Cook,10
Illinois,Will,2
Indiana,Marion,19
Iowa,Polk,11
Maryland,Baltimore (City),18
Massachusetts,Hampden,7
Massachusetts,Suffolk,24
Massachusetts,Worcester,24
Minnesota,Ramsey,10
Missouri,Greene,11
Missouri,Jackson,8
Missouri,St. Louis City,15
Montana,Flathead,28
Nebraska,Douglas,3
Nevada,Clark,16
Nevada,Clark,28
Nevada,Douglas,14
Nevada,Washoe,7
New Jersey,Union,35
New Mexico,Bernalillo,10
New Mexico,Bernalillo,26
New York,Erie,5
New York,Monroe,1
New York,New York,13
New York,Niagara,5
North Carolina,Durham,16
North Carolina,Durham,18
Ohio,Summit,11
Oklahoma,Cleveland,16
Oklahoma,Oklahoma,13
Oregon,Deschutes,34
Tennessee,Davidson,10
Tennessee,Shelby,15
Utah,Salt Lake,25
Vermont,Chittenden,3
Virginia,Fairfax,9
Washington,Spokane,20
Wisconsin,Milwaukee,2
Wisconsin,Waukesha,3
Puerto Rico,San Juan,17
Country Of Mexico,BAJA CALIFORNIA NORTE,14
Country Of Mexico,CHIHUAHUA STATE,34
Alabama,Jefferson,5
Arizona,Maricopa,18
Arizona,Maricopa,66
Arizona,Maricopa,22
Arizona,Maricopa,25
Colorado,Boulder,16
Colorado,Boulder,14
Colorado,El Paso,5
Colorado,El Paso,28
Florida,Broward,8
Florida,Sarasota,11
Florida,Sarasota,39
Hawaii,Honolulu,11
Hawaii,Honolulu,14
Hawaii,Honolulu,17
Illinois,Will,3
Kentucky,Fayette,1
Massachusetts,Worcester,6
Michigan,Wayne,7
Minnesota,Anoka,5
Minnesota,Dakota,3
Minnesota,Saint Louis,9
Missouri,Jackson,8
Missouri,Saint Louis,7
Missouri,Saint Louis,2
Nebraska,Douglas,8
Nebraska,Lancaster,14
Nebraska,Lancaster,8
Nevada,Clark,0
Nevada,Clark,15
Nevada,Carson City,13
New Jersey,Monmouth,19
New Mexico,Bernalillo,20
New Mexico,Dona Ana,30
New York,Erie,9
New York,Nassau,6
New York,New York,10
New York,Queens,7
North Carolina,Mecklenburg,13
Ohio,Jefferson,13
Ohio,Montgomery,5
Oklahoma,Comanche,3
Oklahoma,Oklahoma,9
Tennessee,Davidson,8
Tennessee,Shelby,3
Tennessee,Shelby,23
Tennessee,Sullivan,13
Utah,Weber,7
Virginia,Fairfax,3
Virginia,Norfolk City,14
Washington,King,25
West Virginia,Hancock,11
Wisconsin,Waukesha,2
Country Of Mexico,BAJA CALIFORNIA NORTE,17
Alabama,Jefferson,17
Alabama,Jefferson,6
Alaska,Anchorage ,19
Alaska,Anchorage ,18
Arizona,Maricopa,22
Colorado,Boulder,10
Colorado,Larimer,18
Connecticut,Fairfield,13
Connecticut,Hartford,26
Florida,Broward,11
Florida,Palm Beach,3
Florida,Pinellas,7
Florida,Sarasota,22
Illinois,Cook,7
Illinois,Cook,24
Indiana,Allen,11
Iowa,Polk,18
Kentucky,McCracken,0
Louisiana,East Baton Rouge,9
Massachusetts,Hampden,7
Massachusetts,Hampden,8
Massachusetts,Worcester,9
Michigan,Kent,3
Michigan,Wayne,11
Michigan,Wayne,5
Missouri,Jackson,6
Montana,Flathead,9
Montana,Missoula,11
Nebraska,Douglas,18
Nevada,Clark,0
Nevada,Clark,0
Nevada,Clark,18
Nevada,Washoe,6
Nevada,Washoe,24
New Jersey,Bergen,24
New Jersey,Camden,5
New Jersey,Camden,2
New Jersey,Essex,6
New Jersey,Middlesex,11
New Jersey,Union,15
New Mexico,Dona Ana,14
North Carolina,Mecklenburg,7
Ohio,Hamilton,18
Ohio,Summit,15
Oklahoma,Tulsa,6
Oregon,Multnomah,24
Oregon,Multnomah,15
Utah,Salt Lake,15
Utah,Utah,14
Utah,Utah,36
Virginia,Hampton City,11
Virginia,Richmond City,7
Virginia,Richmond City,11
Washington,King,15
Washington,King,24
Washington,King,26
Washington,Pierce,14
Washington,Spokane,16
Washington,Thurston,18
West Virginia,Brooke,7
West Virginia,Brooke,3
West Virginia,Ohio,7
Wisconsin,Racine,7
Wisconsin,Waukesha,3
Country Of Mexico,BAJA CALIFORNIA NORTE,10
Country Of Mexico,BAJA CALIFORNIA NORTE,33
Country Of Mexico,CHIHUAHUA STATE,6
Arizona,Maricopa,45
Colorado,Denver,19
Colorado,Jefferson,8
Colorado,Mesa,28
Connecticut,Fairfield,8
Connecticut,Fairfield,13
Connecticut,Hartford,61
Connecticut,New Haven,9
District Of Columbia,District of Columbia,16
District Of Columbia,District of Columbia,14
Florida,Broward,8
Florida,Hillsborough,7
Florida,Miami-Dade,16
Florida,Palm Beach,3
Hawaii,Honolulu,3
Illinois,Cook,32
Illinois,Sangamon,10
Illinois,Winnebago,17
Indiana,Marion,16
Kansas,Linn,10
Kentucky,Fayette,3
Kentucky,Fayette,1
Kentucky,Jefferson,23
Kentucky,Jefferson,20
Louisiana,East Baton Rouge,50
Massachusetts,Hampden,34
Massachusetts,Suffolk,7
Michigan,Wayne,9
Minnesota,Ramsey,14
Minnesota,Saint Louis,17
Minnesota,Stearns,13
Missouri,Saint Louis,3
Nebraska,Lancaster,18
Nevada,Clark,1
Nevada,Clark,7
Nevada,Washoe,10
Nevada,Washoe,17
Nevada,Carson City,11
New Jersey,Burlington,8
New Mexico,Dona Ana,3
New Mexico,Santa Fe,10
New York,Kings,7
New York,Nassau,6
New York,Nassau,7
New York,Onondaga,16
North Carolina,Durham,5
North Carolina,Forsyth,18
North Carolina,Mecklenburg,16
North Carolina,Wake,8
Ohio,Cuyahoga,13
Ohio,Montgomery,6
Oklahoma,Tulsa,9
Oregon,Jackson,38
Oregon,Lane,25
Oregon,Multnomah,7
Tennessee,Shelby,11
Tennessee,Shelby,10
Virginia,Norfolk City,14
Washington,King,8
Washington,Spokane,32
Wisconsin,Milwaukee,7
Alabama,Jefferson,17
Alaska,Fairbanks North Star ,24
Alaska,Fairbanks North Star ,19
Arizona,Pima,7
Colorado,Denver,9
